id	modified	basisOfRecord	occurrenceID	individualCount	sex	lifeStage	eventID	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet
973273DD-FDB4-469C-BBEA-D49DFFA38791	2018-01-31 15:51:34.537	HumanObservation	F9BDA0B2-2B20-491D-8617-27B4A52BDECE	1	Female	Adult	973273DD-FDB4-469C-BBEA-D49DFFA38791	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
973273DD-FDB4-469C-BBEA-D49DFFA38791	2018-02-12 12:43:00.397	HumanObservation	C793EE5E-0CFD-416E-8D68-28CF736AD9CF	8	unknown	Juvenile	973273DD-FDB4-469C-BBEA-D49DFFA38791	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
59C670DA-BD2F-4631-AF84-9A5BC160426C	2018-01-31 15:51:34.537	HumanObservation	E5B68FA1-74CB-4E6B-B3EC-6DC06D708EEC	1	Male	Adult	59C670DA-BD2F-4631-AF84-9A5BC160426C	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
59C670DA-BD2F-4631-AF84-9A5BC160426C	2018-01-31 15:51:34.537	HumanObservation	B513579B-B1C7-4996-A24F-44B5F67BB419	1	Female	Adult	59C670DA-BD2F-4631-AF84-9A5BC160426C	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
59C670DA-BD2F-4631-AF84-9A5BC160426C	2018-02-12 12:43:00.397	HumanObservation	669BE083-6DA8-41EE-9111-A99EAA69D917	8	unknown	Juvenile	59C670DA-BD2F-4631-AF84-9A5BC160426C	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
1EA39FA6-9ADE-441F-A220-FAE314FA7F6E	2018-01-31 15:51:34.537	HumanObservation	F99EE7BC-8D41-4B2D-9AB5-90415421DFE3	1	Male	Adult	1EA39FA6-9ADE-441F-A220-FAE314FA7F6E	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
3269C945-897C-41CA-9F08-6E99FCD975F7	2018-01-31 15:51:34.537	HumanObservation	4EE76651-1FAE-46BC-AC97-A4A0077DAE54	1	Male	Adult	3269C945-897C-41CA-9F08-6E99FCD975F7	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
3269C945-897C-41CA-9F08-6E99FCD975F7	2018-01-31 15:51:34.537	HumanObservation	C3A71AAE-17E5-4BE9-95BC-3E4F19230963	1	Female	Adult	3269C945-897C-41CA-9F08-6E99FCD975F7	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
3269C945-897C-41CA-9F08-6E99FCD975F7	2018-02-12 12:43:00.397	HumanObservation	43F79101-BFB2-4E40-921E-5E9D0390D4AD	3	unknown	Juvenile	3269C945-897C-41CA-9F08-6E99FCD975F7	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
7C6FDB96-D6BB-4F49-B6DB-8C406B792E12	2018-01-31 15:51:34.537	HumanObservation	A50D2054-9E69-4CCE-806E-5EAE14A82007	1	Female	Adult	7C6FDB96-D6BB-4F49-B6DB-8C406B792E12	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
